slug,followers
social-sciences,"@socialsciencescommunityupdate@newsmast.social, @JulieSpray@newsmast.social, @newsmast@newsmast.social, @mjb@sciences.social, @mariaabreu@sciences.social, @jakeanders@sciences.social, @CPCpopulation@sciences.social, @NewSpaceEconomy@mastodon.social, @aliceroberts@mastodonapp.uk, @wamasters@mastodon.social, @colettesalemi@econtwitter.net, @kmjones@econtwitter.net, @allbriteallday@econtwitter.net, @DaveEvansPhD@econtwitter.net, @DietzVollrath@econtwitter.net, @gerald_leppert@bonn.social, @mattcowgill@mastodon.social, @mark_graph@econtwitter.net, @annastansbury@econtwitter.net, @drodrik@econtwitter.net, @jesse_rothstein@econtwitter.net, @matthewstoller@mastodon.social, @oscarthinks@newsie.social, @digiconomist@mastodon.nl, @kris_inwood@mas.to, @pkrugman@mastodon.online, @DeanBaker13@econtwitter.net, @tutam@fediscience.org, @sladner@mastodon.social, @Carwil@mastodon.online, @anthropologia@mastodon.social, @bjkingape@mastodon.online, @lunavives@mastodon.social, @marcellaflamme@scholar.social, @faustosterling@mastodon.world, @albertocairo@mastodon.social, @talkinto@sciences.social, @jwwr@aus.social, @alexzap@mastodon.social, @emilyriederer@mastodon.social, @gabi_cabana@mastodon.world, @bramzandbelt@mastodon.social, @renebekkers@mastodon.social, @JulieSeraSpray@mastodon.ie, @gkbhambra@mstdn.social, @allison_horst@mastodon.social, @ruha9@mastodon.social, @khertog@sciences.social, @smach@masto.machlis.com, @alexlex@vis.social, @wattenberger@techhub.social, @PaquitoBernard@masto.ai, @bartbonikowski@mastodon.social, @hw@fediscience.org, @suomenantropologi@fediscience.org, @rvawonk@newsie.social, @plieninger@sciences.social, @PVrticka@mastodon.social, @ByrdNick@nerdculture.de, @Daniel_Heck@mastodon.social, @jphillips@mastodon.social, @lakens@mastodon.social, @ManikyaAlister@fediscience.org, @knutson_brain@sfba.social, @milicanikolic@mastodon.world, @awaisaftab@mastodon.social, @SaRoseCav@mastodon.social, @richlucas@mastodon.social, @MiriForbes@mstdn.social, @adanvers@nerdculture.de, @deevybee@mastodon.social, @PhilosophicalPsychology@fediscience.org, @hendrikerz@scholar.social, @WeedenKim@sciences.social, @hermwerf@mastodon.social, @alex@dair-community.social, @paulj1989@fosstodon.org, @jncohen@fosstodon.org, @tomstafford@mastodon.online, @nrennie@fosstodon.org, @scottish@datasci.social, @pablote@mastodon.social, @volcan01010@fosstodon.org, @ramikrispin@mstdn.social, @olimould@mas.to, @jpaulgoode@sciences.social, @amydiehl@mstdn.social, @kerstinsailer@sciences.social, @brodriguesco@fosstodon.org, @EconIntel@federated.press, @karengregory@mastodon.scot, @cneff@sciences.re, @Mer__edith@mastodon.world, @CathyTuttle@social.ridetrans.it, @jdierkes@sciences.social, @NPV@scholar.social, @mszll@datasci.social, @fursthenrik@mastodon.social, @jelena3121@mastodon.social, @CoffeeBaseball@sciences.social, @mczajko@mastodon.social, @ndporter@sciences.social, @sinimalesevic@mastodon.online, @socfocus@fediscience.org, @davidrypel@sciences.social, @FionaCoward@fediscience.org, @michiexile@mathstodon.xyz, @rwdatasci@fosstodon.org, @UrbanDemog@datasci.social, @nerdsitu@datasci.social, @ritagiordano@vis.social, @robinlovelace@fosstodon.org, @aalexee@econtwitter.net, @DrSundarb@sciences.social, @ChadBown@econtwitter.net, @sbuhai@mastodon.social, @sinclair_allie@fediscience.org, @almogsi@fediscience.org, @achterbrain@mastodon.social, @antoniahamilton@nerdculture.de, @Aurelio_Bruno@fediscience.org, @BenediktEhinger@scholar.social, @b_j_griffiths@fediscience.org, @s_michelmann@indieweb.social, @emma@assemblag.es, @SociologyMag@sciences.social, @echoechoR@vis.social, @jackturban@mastodon.social, @DrLinguo@mastodon.social, @javedali@fediscience.org, @erverd@sciences.re, @waeiski@vis.social, @CTemenos@mstdn.social, @sommer@fosstodon.org, @twm@mastodon.sdf.org, @frhartz@sciences.social, @mortenfrisch@sciences.social, @christoph@christophfink.com, @averose@sciences.social, @emelinecomby@sciences.re, @llongour@mapstodon.space, @sarahbell@mapstodon.space, @kevinkosullivan@sciences.social, @csmarcum@sciences.social, @DialoguesHG@mastodon.social, @vtraag@social.cwts.nl, @Alex_Golub@scholar.social, @th_alys@mastodon.social, @DavidHarvey@sciences.social, @robertbigg@sciences.social, @czimm_economist@sciences.social, @matthewfacciani@threads.net, @popresearchctrs@threads.net, @dr-peter-olusoga.bsky.social@bsky.brid.gy, @towardsdatascience@hachyderm.io"
breaking-news,"@abcaustraliarss@newsmast.social, @timesofindiarss@newsmast.social, @newzealandheraldrss@newsmast.social, @southchinamorningpostrss@newsmast.social, @france24rss@newsmast.social, @deutschewellerss@newsmast.social, @asiatimesrss@newsmast.social, @yahoousnewsrss@newsmast.social, @bbcworldnewsrss@newsmast.social, @theguardianrss@newsmast.social, @aljazeerarss@newsmast.social, @newsmast@newsmast.social, @thejapantimes@mastodon.social, @Factal@mstdn.social, @euractiv@masto.ai, @squirrelnews_de@mastodon.social, @rapplerrss@newsmast.social, @Semafor@flipboard.com, @csmonitor@flipboard.com, @NatObserver@flipboard.com, @motherjonesmag@threads.net, @meidastouch@threads.net, @yahoonews@threads.net, @SunSentinel@flipboard.com, @TexasMonthly@flipboard.com, @CALMatters@flipboard.com, @HonoluluCivil@flipboard.com, @KPBSPublicMedia@flipboard.com, @clevelandnews@flipboard.com, @akp2@mastodon.social, @theindexmedia@threads.net, @axios@threads.net, @dailymail@threads.net, @npr@flipboard.com, @BBCBrasil@flipboard.com, @dwbrasilflip@flipboard.com, @CTVNews@flipboard.com, @GlobalNews@flipboard.com, @morgenpost@flipboard.com, @FR_de@flipboard.com, @GoodNewsDE@flipboard.com, @RNDAudience@flipboard.com, @Stern_Digital@flipboard.com, @watson_de@flipboard.com, @NZZ_Ch@flipboard.com, @NYMag@flipboard.com, @ITVNews@flipboard.com, @theipaper@flipboard.com, @Band@flipboard.com, @Poder360@flipboard.com, @CNNBrasil@flipboard.com, @CNN@flipboard.com, @conflicts@pubeurope.com"
ai,"@aicommunityupdate@newsmast.social, @infobl@newsmast.social, @newsmast@newsmast.social, @mmitchell_ai@mastodon.social, @SebRaschka@mastodon.social, @tolulope@mas.to, @jmateosg@econtwitter.net, @DAIR@dair-community.social, @jenslehmann@sigmoid.social, @stablehorde@sigmoid.social, @gprimiero@scholar.social, @mattlynley@mastodon.online, @nitashatiku@mastodon.social, @dnlkntt@mastodon.world, @teachpaperless@mastodon.nu, @janellecshane@wandering.shop, @kashhill@mastodon.social, @arselectronica@social.ars.electronica.art, @larsjuhljensen@mas.to, @yangfeng@mastodon.social, @DrMikeWatts@newsmast.social, @spaduf@hachyderm.io, @bleuje@mathstodon.xyz, @minkhantkyawmdy35@mastodon.social"
football,"@footballcommunityupdate@newsmast.social, @Hedvig1Lindahl@newsmast.social, @Sebsb@newsmast.social, @AlasdairGold@newsmast.social, @James_Shield@newsmast.social, @Joshmcc_05@newsmast.social, @TheEnglishLion@newsmast.social, @newsmast@newsmast.social, @susierants@mstdn.social, @liverpool@mstdn.social, @migueldelaney@mastodon.social, @lufcdata@mastodon.world, @mihajlo@mastodon.com.pl, @leffie@thefooty.club, @joshfeldberg@arsenalfc.social, @uditischler@arsenalfc.social, @magicmike@arsenalfc.social, @Goonerworks@arsenalfc.social, @transfers@newsmast.social, @gothamfc@threads.net, @poorlydrawnarsenal@threads.net, @columbuscrew@threads.net, @onefootball@threads.net, @thecollabfc@threads.net, @kamranjnia@threads.net, @nonleaguevol@threads.net, @sanny_rudra@threads.net, @thefootymuseum@threads.net, @outandoutfootball@threads.net, @FourFourTwo@flipboard.com, @90min_BR@flipboard.com, @goalbr@flipboard.com, @BBCMOTD@flipboard.social"
science,"@sciencecommunityupdate@newsmast.social, @MichaelMarshall@newsmast.social, @DrCarpineti@newsmast.social, @Sascha_Feldmann@newsmast.social, @newsmast@newsmast.social, @calimari@techhub.social, @Ruth_Mottram@fediscience.org, @haritulsidas@masto.ai, @MathildeTahar@scholar.social, @fgusmao@mastodon.social, @ScienceDesk@flipboard.social, @maggiek@sciencemastodon.com, @Sheril@mastodon.social, @wonderofscience@mastodon.social, @moritz_negwer@mstdn.science, @laurahelmuth@mastodon.social, @audodenis@scholar.social, @dbm@atmoschem.org, @clblanchet@fediscience.org, @maxplanckgesellschaft@wisskomm.social, @proseandpassion@mastodon.social, @Brendanjones@fosstodon.org, @ABQTom@sauropods.win, @JenLucPiquant@universeodon.com, @gmusser@mastodon.social, @schymans@mastodon.social, @sellathechemist@mastodon.social, @SanGasso@airpollution.science, @rglueckler@fediscience.org, @philgoodwin@universeodon.com, @Ferwen@mastodon.online, @alaskauma@ohai.social, @D_Naylor@universeodon.com, @dderigo@hostux.social, @nishtha_srivastava@techhub.social, @jascha@mastodon.social, @jmunroe@fediscience.org, @judithgeology@mastodon.social, @cthoyt@scholar.social, @MoreorLoess@mstdn.social, @geoffreymsmith@archaeo.social, @marshall_0i@mastodon.social, @drlynnchiu@ecoevo.social, @TC_Chakraborty@fediscience.org, @paultgriffiths@fediscience.org, @lkreidberg@astrodon.social, @tilvi@mastodon.social, @La_U_Re_N@mstdn.science, @jhauck@fediscience.org, @Kolb2022@troet.cafe, @spon@ecoevo.social, @jocelyn_etienne@scicomm.xyz, @jocelyn_etienne@mathstodon.xyz, @MajaMielke@scicomm.xyz, @lab_colombo@mstdn.science, @Dr_Oli_Jones@fosstodon.org, @solarchemist@scholar.social, @polymerreaction@aus.social, @TheFosterLab@mas.to, @NicoFroehberg@fediscience.org, @dgonzalez_geo@fediscience.org, @carbonatefan@spore.social, @peterreiners@scicomm.xyz, @DrBethRocks@fediscience.org, @jstratford@fediscience.org, @timholtwilson@mastodon.green, @milkysa@wandering.shop, @Emiliagnathus@circumstances.run, @Arctomet@sciencemastodon.com, @djbirddanerd@ecoevo.social, @ChrisManias@sauropods.win, @Palaeojules@sauropods.win, @mondinspace@mastodon.social, @ChariteBerlin@wisskomm.social, @ausgeo@newsmast.social, @ScienceAlert@flipboard.com, @fraunhofergesellschaft@wisskomm.social, @iflscience@threads.net, @wonderofscienceofficial@threads.net, @NatureNewsteam@flipboard.com, @SciMag@flipboard.com, @jorgeluis@pub.solar, @ieeespectrum@mastodon.social, @redshiftdrift@sciences.re"
energy-pollution,"@energycommunityupdate@newsmast.social, @newsmast@newsmast.social, @jonlevy@med-mastodon.com, @nicobeckert@mastodon.social, @WangShenglii@mastodon.social, @Hy_Economy@mastodon.social, @solarman2022@techhub.social, @LIFEprogramme@respublicae.eu, @JustinGerdes@mastodon.green, @feiwang@mastodon.energy, @rkonidena76@mastodon.energy, @Casey@newsie.social, @sfbaykeeper@sfba.social, @tonyrwalker1@fediscience.org, @mrillig@mastodon.online, @subu_caps@airpollution.science, @allancjust@fediscience.org, @Cleanairforall2@mastodon.world, @laurimyllyvirta@mastodon.online, @drvolts@journa.host, @sjurdur@ecoevo.social, @vfmcneill@airpollution.science, @m_parrington@airpollution.science, @energymonitorai@mastodon.energy, @croselund@mastodon.energy, @matteodefelice@mastodon.energy, @TransitionShow@mastodon.energy, @janrosenow@mastodon.energy, @trutnevyte@mastodon.energy, @WilliamsForOPPD@mastodon.energy, @ekomoderna@mastodon.energy, @tomwebler@mastodon.energy, @RefractiveComm@mastodon.energy, @henrihorn@mastodon.energy, @energynewsnetwork@mastodon.energy, @opelex@mastodon.energy, @DavideSabbadin@mastodon.energy, @EsTresidder@mastodon.energy, @BPBartholomew@mastodon.energy, @Renewablereads@mastodon.energy, @Protons4B@mastodon.energy, @GreenPlanet_nrg@mastodon.green, @gavinjmaguire@newsmast.social, @skyglowberlin@fediscience.org"
weather,"@weathercommunityupdate@newsmast.social, @newsmast@newsmast.social, @Copacetic_vibe@m.ai6yr.org, @al_meteo@meteo.social, @ICPM@fediscience.org, @JZ_Lpz@meteo.social, @frankkaspar@fediscience.org, @hansbrenna@fribygda.no, @danielbowmaniel@mastodon.sdf.org, @mattlanza@mstdn.social, @robmayeda@sfba.social, @JessicaMoore@wx.social, @mikepj@mastodon.social, @weathermatrix@mastodon.world, @wessexweather@mastodonapp.uk, @AlaskaWx@alaskan.social, @crownweather@mstdn.science, @theeyewallwx@mastodon.social, @es5nhc@meteo.social, @skiweather@meteo.social, @kachelmannwetter@meteo.social, @geravitywave@sfba.social, @barkflight@m.ai6yr.org, @mmakens@vmst.io, @N_pavlovic@fediscience.org, @JohnD@twit.social, @austinburkeswx@mastodon.social, @rybchuk@fediscience.org, @ingalls@mstdn.ca, @uccawx@m.ai6yr.org, @MeteoredBR@flipboard.com"
physics,"@physicscommunityupdate@newsmast.social, @newsmast@newsmast.social, @plasmaphysik@wisskomm.social, @preskill@qubit-social.xyz, @DrMLHarris@mastodon.social, @paulmasson@mathstodon.xyz, @rdpmarqui@fosstodon.org, @NatureAstronomy@astrodon.social, @timlichtenberg@fediscience.org, @rdrimmel@mstdn.social, @eamonn_kerins@astrodon.social, @physics@scipost.social, @formbar@fediscience.org, @chanda@blacktwitter.io, @j_bertolotti@mathstodon.xyz, @johncarlosbaez@mathstodon.xyz, @helenczerski@fediscience.org, @jsdodge@fediscience.org, @mcnees@mastodon.social, @dgfeist@fediscience.org, @duetosymmetry@mastodon.social, @cortogantese@mastodon.social, @BartoszMilewski@mathstodon.xyz, @karenlmasters@astrodon.social, @seanmcarroll@fediscience.org, @jascha@mastodon.social, @steve@mastodon.cooleysekula.net, @RaphaelGrandin@social.linux.pizza, @AlainPlattner@social.linux.pizza, @Toby@fediscience.org, @manuelalonso@mstdn.social, @sanli@scholar.social, @agaitaarino@scholar.social, @dchooper91_cosmo@astrodon.social, @sidewalksciguy@astrodon.social, @noisyastronomer@mastodon.social, @secular@mathstodon.xyz, @jtwsma@mathstodon.xyz, @Claire_Lee@sciencemastodon.com, @ChrisWalter@fediscience.org, @eleni@qubit-social.xyz, @FMarquardtGroup@fediscience.org, @schubotz@mathstodon.xyz, @pfsmet@mastodon.social, @RobertGaristo@universeodon.com, @lewriley@mas.to, @truesciphi@mastodon.social, @julienhillairet@piaille.fr, @mpsgoettingen@academiccloud.social, @freyablekman@fediscience.org, @mpi_grav@academiccloud.social, @redshiftdrift@sciences.re, @Quantensalat@scicomm.xyz"
poverty-inequality,"@inequalitycommunityupdate@newsmast.social, @newsmast@newsmast.social, @Juliaraifman@med-mastodon.com, @cara__jackson@mastodon.social, @FightPoverty@purposefully.social, @povertyalliance@mastodon.scot, @endfuelpoverty@mastodon.green, @carmwilson@mastodon.social, @kartikraj@mastodon.online, @kris_inwood@mas.to, @rbreich@masto.ai, @philipncohen@mastodon.social, @FabianPfeffer@sciences.social, @KatyPearce@mastodon.social, @lucymichael@mastodon.ie, @WeedenKim@sciences.social, @inequalitymedia@mastodon.online, @levisu@sfba.social, @benphillips76@mastodon.online, @imcivicaction@mastodon.online, @VerglPolwi@mastodon.social, @jasonhickel@mastodon.world, @eriksherman@mastodon.world, @vivianho@journa.host, @jessicacalarco@mastodon.social, @IPS@mastodon.world, @loelof@mastodon.social, @Saba_Salman@newsie.social, @maxkasy@mastodon.social, @Benjamin@perspective-daily.de, @sarahjones@newsie.social, @HaleyTaylorSchlitz@newsie.social, @LLopezGonzalez@newsie.social, @jrf-uk.bsky.social@bsky.brid.gy"
nature-wildlife,"@natureandoutdoorscommunityupdate@newsmast.social, @saralimback@newsmast.social, @newsmast@newsmast.social, @bownaankamal@toot.community, @MyWildlifeAllotment@mastodon.online, @petewalkden@mastodon.scot, @timosborne@mstdn.ca, @nywolforg@mastodon.world, @birder@ecoevo.social, @cascadepine@mas.to, @Chatterstanes@mastodon.scot, @ThomasKrumenacker@reporter.social, @catselbow@fosstodon.org, @mokumphoto@mastodon.nl, @barbarabrooklyn@mastodon.social, @ryanhodnett@mastodon.world, @Christownsendoutdoors@mastodon.scot, @stephenhui@mstdn.ca, @TimKStanton@mstdn.social, @natureworks@mas.to, @DolphinSeeker@mstdn.social, @Well-Fotos@pixelfed.social, @southernminnguy@toot.community, @trailspotting@mas.to, @naturealexk@freiburg.social, @WalkersAreWelcome@mastodonapp.uk, @Alex_Verbeek@mastodon.social, @avianvet@birds.town, @ausgeo@newsmast.social, @cyclingtogether@pixelfed.social, @entsocamerica@ecoevo.social, @conservation_mag@threads.net, @NatGeoBrasil@flipboard.com, @BBCWildlife@flipboard.com, @NatureNewsteam@flipboard.com"
environment,"@environmentcommunityupdate@newsmast.social, @Iyad_Abumoghli@newsmast.social, @newsmast@newsmast.social, @sigrid@mastodon.online, @StitchedInkMedia@flipboard.social, @backyardecology@mastodon.social, @farhanasultana@mastodon.social, @therockyfiles@journa.host, @bjornjohann@newsie.social, @dbenton@mastodon.online, @thethirdpoleEN@federated.press, @rjpayne@mastodon.social, @calimari@techhub.social, @MichaelEMann@fediscience.org, @Ruth_Mottram@fediscience.org, @allancjust@fediscience.org, @plastisphere@podcasts.social, @huprice@mastodon.social, @drvolts@journa.host, @sjurdur@ecoevo.social, @RSPBEngland@mastodonapp.uk, @greenpeace@mastodon.social, @haritulsidas@masto.ai, @tuxom@mastodon.social, @JohanEmpa@mastodon.green, @bluecommunity@mastodon.social, @unep@mstdn.social, @gretathunberg@mastodon.nu, @Cladupont@fediverse.science, @kristiansnielsen@sciences.social, @robverchick@mastodon.online, @thebeeguy@mastodon.ie, @fgenovese@mastodon.social, @helgej_@mas.to, @DarkOptimism@mstdn.social, @paulpeace@mastodon.social, @globalwarmingpolicyrss@newsmast.social, @TheBeeGuy@newsmast.social, @BlueNews@mstdn.plus, @ausgeo@newsmast.social, @ErinBrockovich@flipboard.com, @ScienceCommunicator@mastodon.social, @HighCountryNew@flipboard.com, @NatGeoBrasil@flipboard.com"
